time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z
1251.67,-0.0003307269,0.0004191013,0.0007289299,0.0003141784,-0.00181983,0.003046194,-0.1327558,-0.1964255,0.2121377,88.07745,227.112,173.4933,
1265.58,-0.0002569485,0.0004385892,0.0007934367,-0.002254339,-0.003157416,0.001030926,-0.132753,-0.1964201,0.2121444,88.07339,227.1917,173.567,
1279.423,-0.0004570966,0.0002213556,0.0008424884,-0.004618693,0.0002622771,0.002833982,-0.1327543,-0.196428,0.2121546,88.07217,226.8976,173.2707,
1293.157,-0.0006203837,-0.0002013209,0.0005558236,-0.002961017,0.001924902,0.002430409,-0.1327533,-0.1964496,0.2121507,88.07369,226.8192,173.1939,
1307.32,-0.0005788476,0.0003788277,0.0005402294,-0.0006465244,-0.0002901293,0.002675558,-0.1327509,-0.1964312,0.2121541,88.07066,226.9182,173.2974,
1321.391,-0.0006389988,0.0001437146,0.0004992617,-0.001557269,3.563185E-05,0.000256735,-0.1327597,-0.19644,0.2121517,88.07197,226.9583,173.3336,
1335.15,-0.0005544008,0.0002084696,0.0002490245,-0.0006718604,-1.537692E-05,0.0008528904,-0.1327629,-0.196442,0.2121364,88.07197,226.9492,173.3271,
1349.086,-0.0005101685,-0.0001021033,0.0001847108,-0.002516901,0.001569216,-0.00011634,-0.1327649,-0.1964572,0.2121201,88.07369,226.8412,173.2147,
1363.028,-0.0006194381,0.0001057743,0.0001847077,-0.001246718,0.002375715,-1.970345E-05,-0.1327726,-0.1964546,0.2121079,88.07685,226.8089,173.1836,
1376.621,-0.0006700688,1.747242E-05,0.000133564,0.0004908788,0.002550578,-0.0006488155,-0.1327748,-0.196459,0.2120993,88.08092,226.8817,173.2589,
1390.835,-0.0004039937,0.0002776142,-8.526295E-05,0.001892498,0.0006615136,-0.002822933,-0.1327613,-0.1964537,0.2120858,88.08429,227.1262,173.5035,
1404.826,-0.0003412248,0.0002680947,-0.0003143551,0.002198845,0.002999689,-0.003101283,-0.1327488,-0.1964554,0.2120685,88.09126,227.074,173.4516,
1418.697,-9.714279E-05,-6.866179E-05,-0.0003191716,0.002666084,0.002369835,-0.003825945,-0.1327266,-0.1964702,0.212057,88.09485,227.1602,173.537,
1432.827,7.437853E-05,6.017777E-05,-2.631817E-05,0.002854115,-0.0008770326,-0.002451409,-0.1327062,-0.1964694,0.2120587,88.09166,227.285,173.6636,
1446.703,1.445328E-05,0.0005362193,-4.752363E-05,0.004127205,-7.076049E-05,-0.002354647,-0.1327052,-0.1964498,0.2120544,88.09608,227.3524,173.7344,
1460.573,0.0001204608,-0.000336263,0.0002160818,0.0001847178,0.0002046243,-0.000374977,-0.1326967,-0.1964798,0.2120603,88.09187,227.2231,173.601,
1474.199,0.0001720305,-5.037742E-05,0.0003559831,-0.001523203,-0.000249374,0.002073985,-0.1326909,-0.1964734,0.2120682,88.08675,227.0614,173.4396,
1488.366,0.0001098374,9.878158E-05,0.0004043205,-0.002298094,-0.001961641,0.003074772,-0.1326887,-0.1964748,0.2120777,88.08031,227.0239,173.4009,
1502.31,1.912654E-05,0.0007566924,0.0006090801,-0.002685759,-0.002817717,0.003574921,-0.1326894,-0.196444,0.2120928,88.07461,227.0081,173.3859,
1515.87,0.0001753555,0.0003619369,0.0003970864,-0.001335572,-0.003499547,0.003445715,-0.1326716,-0.1964559,0.2120961,88.07085,227.0752,173.4547,
1530.062,0.000196992,-0.000157188,0.000445937,-0.004007208,-0.002418411,0.005522562,-0.1326581,-0.1964774,0.2121075,88.06407,226.8414,173.2194,
1544.248,8.458272E-05,0.0002268537,0.0004770582,-0.005880539,-0.0005593806,0.002730057,-0.132653,-0.196467,0.2121137,88.06387,226.7526,173.123,
1557.938,6.680649E-05,0.000187188,0.0004098875,-0.00328866,-0.0001553582,0.0008768772,-0.1326448,-0.1964679,0.2121126,88.06569,226.8181,173.1897,
1572.005,-7.404105E-05,-1.125662E-05,0.0001256031,0.002340968,0.000955175,0.0003146804,-0.1326419,-0.1964746,0.2121032,88.07207,226.938,173.3184,
1585.775,-7.907583E-05,3.518325E-05,4.959023E-05,0.001458197,0.001004833,-0.000282399,-0.1326392,-0.1964727,0.2121015,88.07319,226.9661,173.3448,
1599.694,-3.834284E-05,0.0002287193,-0.0001869895,0.0004675072,0.002816034,-0.002476985,-0.1326356,-0.1964624,0.2120912,88.0797,226.9552,173.3295,
1613.299,-8.061326E-06,0.0003832098,-0.0004143899,0.003060206,0.003218337,-0.004332036,-0.1326306,-0.1964532,0.2120767,88.08849,227.0838,173.4593,
1627.41,0.0001101688,0.0001697479,-0.0003557666,0.005840309,0.0003740065,-0.00481094,-0.1326195,-0.1964561,0.212071,88.09115,227.3554,173.7351,
1641.596,7.207746E-05,-0.0001632912,-0.0001019086,0.003088122,0.002942337,-0.002510279,-0.1326171,-0.1964688,0.2120729,88.09422,227.2017,173.5804,
1655.335,0.0006185585,-0.0003916971,-0.000303591,0.001510634,-0.0002065345,-0.002330035,-0.1325956,-0.1964855,0.2120585,88.09084,227.3357,173.7128,
1669.57,0.0005613767,-0.0002385223,-0.0001426715,0.0001088064,0.001682482,-0.0001561223,-0.1325967,-0.1964935,0.2120549,88.0932,227.117,173.4934,
1683.618,0.000476319,2.112384E-05,0.0001145205,0.0001608965,0.0004718538,-0.002202071,-0.1326014,-0.1964881,0.212058,88.09495,227.2615,173.6355,
1697.211,0.0004995461,0.0003563928,0.0002822753,0.0006563381,-0.0004329974,-0.001104295,-0.1326018,-0.1964754,0.212062,88.09309,227.3199,173.6965,
1711.175,0.0004968313,4.980257E-05,0.0002010958,-0.001132634,0.0005999531,0.001569393,-0.1325972,-0.1964825,0.2120607,88.08961,227.1238,173.5012,
1725.088,0.0005112611,-0.0002982403,0.0004373954,-0.00642457,0.001552292,0.003678003,-0.1325905,-0.1964965,0.2120709,88.08174,226.7931,173.1628,
1738.816,0.0007584384,0.000177022,0.0003738351,-0.002992876,-0.005167776,0.00384643,-0.1325747,-0.1964816,0.2120721,88.07034,227.0544,173.4298,
1752.793,0.0005154726,-0.0001053555,0.0003073004,-0.0009474346,-0.002649067,0.002942677,-0.1325749,-0.196492,0.2120779,88.07187,227.018,173.3959,
1766.841,0.000458651,-0.0001294424,0.0004114409,-0.002348737,-0.0007612982,0.005116668,-0.1325689,-0.1964947,0.2120894,88.0671,226.8141,173.1925,
1780.855,0.0004934257,-0.0002311017,0.0001511669,-0.003647229,-0.00129257,0.003197225,-0.1325633,-0.1965013,0.2120772,88.06396,226.8262,173.1996,
1794.565,0.0002082375,0.000187113,9.340284E-05,-0.003338964,0.001048758,0.00292215,-0.1325707,-0.1964873,0.2120691,88.06528,226.6829,173.0554,
1808.518,0.000305332,0.0001549836,-0.0001621282,0.0007353565,-0.001921089,-0.001330106,-0.1325681,-0.1964846,0.2120549,88.06821,227.0482,173.4225,
1822.555,0.0002167223,-0.0001413133,-0.0003670799,0.003327542,-0.001518092,-0.00318282,-0.1325743,-0.1964964,0.2120425,88.07441,227.2259,173.6023,
1836.314,-9.278939E-05,-0.0004729526,-0.0003426668,0.001767294,0.00334237,-0.0005596477,-0.1325891,-0.1965122,0.2120371,88.08011,226.9267,173.3044,
1850.252,3.417624E-05,-0.0007109619,-0.0006002887,0.001325674,0.003038533,-0.003702968,-0.1325939,-0.1965299,0.2120167,88.08552,227.0582,173.4308,
1864.323,-6.27056E-05,-0.0004054673,-0.0005615507,0.004441496,0.002261064,-0.002636375,-0.1326072,-0.1965282,0.2120066,88.08941,227.1323,173.5115,
1878.102,-1.213568E-05,-0.0005703559,-0.0003911323,0.002259263,0.001777467,-0.005153316,-0.1326091,-0.1965408,0.2120008,88.09341,227.2826,173.6557,
1892.217,8.429693E-05,-0.0002687153,-0.0006110585,0.004520559,0.0007742382,-0.002861186,-0.1326041,-0.1965358,0.2119835,88.09485,227.3885,173.7688,
1906.216,0.0003189125,-0.0005162356,-0.0004469787,0.0005517068,0.001324083,-0.002702505,-0.1325945,-0.19655,0.2119829,88.09464,227.279,173.6533,
1919.988,0.0004240389,-0.0003225647,-8.604058E-05,-0.001544902,1.56883E-05,0.0002482228,-0.1325929,-0.1965503,0.2119962,88.08869,227.1401,173.5135,
1933.676,0.0002509299,-0.0002831939,0.0001130762,-0.0001948442,-0.000662913,0.0001208346,-0.1326,-0.1965515,0.212006,88.08879,227.1893,173.5653,
1947.663,0.0001917559,-0.0005295952,0.0003431535,-0.001487081,-0.0005348808,0.00389402,-0.1326039,-0.19656,0.2120191,88.08205,227.024,173.4029,
1961.58,0.0003351942,-0.0003979107,0.0002055825,-0.00278501,-0.001066069,0.001975454,-0.1326005,-0.1965545,0.212021,88.0794,227.0474,173.4226,
1975.465,0.0003047361,-0.0006685015,0.0003372464,-0.00579289,-0.002049248,0.002507995,-0.1326027,-0.1965677,0.2120327,88.07045,226.9127,173.2823,
1989.668,0.0001652638,-5.769456E-06,0.0003587733,-0.002183118,-0.003732928,0.004670485,-0.1326115,-0.1965453,0.2120402,88.06538,226.9153,173.2928,
2003.678,8.437427E-05,-0.0002031607,8.822907E-05,-3.368262E-05,-0.003631663,-0.0003250578,-0.1326194,-0.1965489,0.2120356,88.07034,227.1474,173.5232,
2017.214,-0.0001352187,-0.0004116626,9.683633E-05,-0.001514012,-0.0002576754,0.00207358,-0.1326365,-0.196555,0.212037,88.06953,226.8812,173.257,
2031.313,-0.0001441377,-0.0005267598,-0.0001968696,-0.0006593816,-3.098531E-05,0.0008486219,-0.1326472,-0.1965589,0.2120252,88.07137,226.8866,173.2625,
2045.383,-0.0002152873,-0.0004078039,-0.0002609001,-0.00021918,-0.0003878931,-0.001697892,-0.1326499,-0.1965603,0.2120209,88.07339,226.9991,173.372,
2059.146,-0.0002716995,-0.0002182583,-0.0001117909,0.001546457,-0.0004870858,-0.000503903,-0.1326493,-0.1965553,0.2120234,88.07441,227.0448,173.4226,
2073.32,-0.0004005618,-0.0004329675,-0.000262668,0.002292413,0.001499206,-0.003327331,-0.1326497,-0.1965649,0.2120149,88.08317,227.1643,173.5402,
2087.405,-0.0002469273,-0.0005950148,-0.0004554396,0.002787772,0.0005938144,-0.002229848,-0.132642,-0.1965771,0.2120026,88.08378,227.2226,173.6005,
2101.412,-0.0002793023,2.814854E-05,-0.0003355128,0.0004466563,0.003082995,-0.004297545,-0.132641,-0.1965546,0.2120001,88.09074,227.1505,173.5225,
2114.82,-0.0002361944,-0.0001094706,-0.0002727673,0.002374762,1.393846E-05,-0.00354982,-0.132654,-0.1965559,0.2120001,88.08941,227.3248,173.7006,
2128.875,-0.0001853946,0.0002015848,7.179561E-06,0.002870253,-0.0008912595,-0.002451929,-0.1326669,-0.1965325,0.2120105,88.08961,227.3769,173.7562,
2142.961,-0.0001351561,-0.0001400874,0.0001687128,0.001081256,0.000141134,0.0002214404,-0.1326727,-0.1965439,0.2120204,88.08777,227.2359,173.6157,
2156.769,-0.000270017,-0.0002379833,0.0002615845,-0.001698973,0.002984073,0.0007002013,-0.1326785,-0.1965447,0.2120306,88.08941,227.0098,173.3857,
2170.828,0.0001593163,0.0002735099,0.0004318584,-0.002232346,-0.003183048,0.001030445,-0.1326661,-0.1965243,0.212044,88.07817,227.1989,173.5743,
2184.556,-7.453318E-05,3.090767E-05,0.0006415584,-0.003274413,-0.0001627552,0.0008817482,-0.1326926,-0.1965247,0.2120558,88.0799,227.0517,173.4249,
2198.362,-0.0001790938,0.0004781576,0.0003689411,-0.0001592053,-0.0009399836,0.001948092,-0.1327128,-0.1964982,0.2120508,88.07828,227.103,173.4838,
