time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
615.433,0.008911818,-0.001108128,-0.01828047,-0.05671039,-0.08177987,0.05074455,-0.01383261,0.1568633,-0.6018984,0.08046184,3.779764,357.5522,0.07712822,-0.06771961,-0.05202837,0.04904737,-0.2722687,-0.6149869,-0.3082922,-0.6221128,-0.569361,19.56244,17.00075,175.9711,-0.007936597,-0.002683365,-0.001825267,0.1299386,-0.100557,0.1606689,0.1880691,-0.6300694,-0.6313447,13.50126,18.91728,183.1553
629.798,0.007436127,0.002893189,-0.01996734,-0.03594663,-0.09408525,0.04315031,-0.01380693,0.1569367,-0.6021994,0.05345664,3.875506,357.5481,0.08247064,-0.05566688,-0.02891686,0.01740269,-0.1439618,-0.3993177,-0.3071361,-0.6225229,-0.568892,19.4871,17.14435,175.9034,-0.01021938,-0.002277964,-0.001771344,0.1206791,-0.1486026,0.1519485,0.1880375,-0.6300068,-0.6313806,13.60913,18.71565,182.9829
643.689,0.00566772,0.006245974,-0.02247297,-0.01198831,-0.09598156,0.01889271,-0.01379218,0.1571448,-0.6026404,0.02494074,3.94514,357.5744,0.08963614,-0.04126685,-0.004154483,0.02025746,-0.0114847,-0.1665465,-0.3057829,-0.6226224,-0.568066,19.45386,17.41138,175.6326,-0.009133141,-0.0005680117,-0.0008122611,0.08065759,-0.132696,0.1525205,0.1880128,-0.6299571,-0.6314097,13.59977,18.66094,182.8836
657.646,0.003627053,0.009255091,-0.02546151,0.003652138,-0.08544821,-0.002279636,-0.01377998,0.1573415,-0.603092,359.9854,3.984217,357.6184,0.1050098,-0.0231935,0.01773694,0.01274589,0.1476855,-0.005827626,-0.3040936,-0.6224543,-0.5670272,19.36281,17.86126,175.4324,-0.006969784,0.001478155,0.0003911055,0.03885291,-0.09135483,0.1727465,0.1879797,-0.6298968,-0.6314288,13.57577,18.65106,182.7364
671.113,0.001541825,0.01161762,-0.02786139,0.02826802,-0.07241509,-0.02132897,-0.01382517,0.1575866,-0.603542,359.9081,4.014056,357.6565,0.1248699,-0.005018292,0.03734743,-0.04522872,0.3117561,0.07240995,-0.3021512,-0.6223348,-0.5658404,19.09696,18.43889,175.3853,-0.005277382,0.002326981,0.0009325703,0.02151965,-0.05808657,0.1835172,0.1879538,-0.6298534,-0.6314304,13.57096,18.64723,182.5926
685.375,-0.0001636893,0.01379037,-0.02974215,0.05224853,-0.06149406,-0.03496233,-0.0138657,0.1578276,-0.6040305,359.8094,4.031772,357.6899,0.146777,0.007008443,0.05274747,-0.06949049,0.4850987,0.11464,-0.3001919,-0.6222942,-0.564577,18.85109,19.17552,175.4156,-0.002557831,0.003131433,0.001512665,0.008630669,-0.001462437,0.2060299,0.1879213,-0.6298038,-0.6314162,13.56189,18.7109,182.3996
699.463,-0.001442407,0.01550817,-0.03102113,0.07033039,-0.05007666,-0.03508823,-0.01395481,0.1581049,-0.604487,359.729,4.052776,357.6925,0.1555245,0.01421318,0.06196471,-0.08899429,0.5705882,0.1595253,-0.2985427,-0.6220341,-0.5634552,18.62245,19.80151,175.3814,0.001683721,0.004071975,0.002240259,-0.001016382,0.08984494,0.2476422,0.1878831,-0.6297525,-0.6313773,13.53898,18.93463,182.0992
713.149,-0.002483638,0.01674785,-0.03228134,0.08246916,-0.0403072,-0.03016555,-0.01398783,0.1583314,-0.6050169,359.6361,4.059981,357.6897,0.1535687,0.02652878,0.06917926,-0.1552731,0.5446824,0.1848065,-0.2969094,-0.6214764,-0.5623536,18.29522,20.14269,175.2769,0.006127585,0.007243599,0.004080486,-0.04008779,0.1941045,0.3400681,0.1878269,-0.6296862,-0.6312874,13.39905,19.34879,181.6201
727.376,-0.00363435,0.01771543,-0.03371037,0.09110676,-0.03131542,-0.02701948,-0.01407219,0.1586098,-0.6055427,359.558,4.065979,357.6919,0.1478673,0.04564536,0.07335621,-0.2545924,0.4441657,0.1211294,-0.2950847,-0.6203822,-0.5613685,17.87931,20.23685,175.338,0.00853058,0.0113485,0.006224704,-0.1026199,0.2533092,0.4180019,0.1877751,-0.6296298,-0.6311874,13.16152,19.66196,181.1992
741.265,-0.005071717,0.01901813,-0.0352115,0.09848543,-0.02327651,-0.02479903,-0.01419672,0.1589405,-0.606062,359.4597,4.06858,357.7032,0.1416412,0.06986802,0.07690001,-0.3686548,0.2897026,-0.02456497,-0.2931903,-0.6189466,-0.5603296,17.40314,20.09042,175.618,0.01076456,0.01616344,0.008596867,-0.1757762,0.3108728,0.5032763,0.1877054,-0.629556,-0.6310366,12.83008,20.00599,180.6923
